Country,Year,Measure_group,OBS_VALUE_abstraction
Armenia,1990,Agriculture & Fisheries,2259.0
Armenia,1990,Domestic & Public Use,1022.0
Armenia,1990,Industry & Manufacturing,518.70001220703
Armenia,1995,Agriculture & Fisheries,1027.1999511719
Armenia,1995,Domestic & Public Use,555.0
Armenia,1995,Industry & Manufacturing,39.29999923706
Armenia,1996,Agriculture & Fisheries,1067.5
Armenia,1996,Domestic & Public Use,530.79998779297
Armenia,1996,Industry & Manufacturing,46.099998474121
Armenia,1997,Agriculture & Fisheries,1648.8000488281
Armenia,1997,Domestic & Public Use,456.39999389648
Armenia,1997,Industry & Manufacturing,64.400001525879
Armenia,1998,Agriculture & Fisheries,1605.5999755859
Armenia,1998,Domestic & Public Use,329.29998779297
Armenia,1998,Industry & Manufacturing,51.200000762939
Armenia,1999,Agriculture & Fisheries,1488.3000488281
Armenia,1999,Domestic & Public Use,444.0
Armenia,1999,Industry & Manufacturing,61.099998474121
Armenia,2000,Agriculture & Fisheries,1378.3
Armenia,2000,Domestic & Public Use,603.0
Armenia,2000,Industry & Manufacturing,59.2
Armenia,2001,Agriculture & Fisheries,1297.0
Armenia,2001,Domestic & Public Use,569.0
Armenia,2001,Industry & Manufacturing,47.7
Armenia,2002,Agriculture & Fisheries,1339.2
Armenia,2002,Domestic & Public Use,552.2
Armenia,2002,Industry & Manufacturing,46.2
Armenia,2003,Agriculture & Fisheries,1376.4
Armenia,2003,Domestic & Public Use,585.5
Armenia,2003,Industry & Manufacturing,43.8
Armenia,2004,Agriculture & Fisheries,1795.0
Armenia,2004,Domestic & Public Use,589.8
Armenia,2004,Industry & Manufacturing,49.7
Armenia,2005,Agriculture & Fisheries,1947.1
Armenia,2005,Domestic & Public Use,595.9
Armenia,2005,Industry & Manufacturing,44.6
Armenia,2006,Agriculture & Fisheries,2041.6
Armenia,2006,Domestic & Public Use,594.2
Armenia,2006,Industry & Manufacturing,51.2
Armenia,2007,Agriculture & Fisheries,2280.8999
Armenia,2007,Domestic & Public Use,608.8
Armenia,2007,Industry & Manufacturing,45.3
Armenia,2008,Agriculture & Fisheries,2110.6001
Armenia,2008,Domestic & Public Use,618.0
Armenia,2008,Industry & Manufacturing,47.4
Armenia,2009,Agriculture & Fisheries,1691.5
Armenia,2009,Domestic & Public Use,597.3
Armenia,2009,Industry & Manufacturing,74.6
Armenia,2010,Agriculture & Fisheries,1602.4
Armenia,2010,Domestic & Public Use,559.6
Armenia,2010,Industry & Manufacturing,67.8
Armenia,2011,Agriculture & Fisheries,1645.3
Armenia,2011,Domestic & Public Use,516.8
Armenia,2011,Industry & Manufacturing,93.6
Armenia,2012,Agriculture & Fisheries,2108.5
Armenia,2012,Domestic & Public Use,535.7
Armenia,2012,Industry & Manufacturing,45.9
Armenia,2013,Agriculture & Fisheries,2290.6001
Armenia,2013,Domestic & Public Use,525.2
Armenia,2013,Industry & Manufacturing,41.7
Armenia,2014,Agriculture & Fisheries,2143.0
Armenia,2014,Domestic & Public Use,500.2
Armenia,2014,Industry & Manufacturing,48.0
Armenia,2015,Agriculture & Fisheries,4594.6001
Armenia,2015,Domestic & Public Use,496.3
Armenia,2015,Industry & Manufacturing,85.2
Armenia,2016,Agriculture & Fisheries,4496.3
Armenia,2016,Domestic & Public Use,479.8
Armenia,2016,Industry & Manufacturing,87.6
Armenia,2017,Agriculture & Fisheries,3758.6998999999996
Armenia,2017,Domestic & Public Use,579.2
Armenia,2017,Industry & Manufacturing,95.2
Armenia,2018,Agriculture & Fisheries,3487.0
Armenia,2018,Domestic & Public Use,584.1
Armenia,2018,Industry & Manufacturing,101.3
Armenia,2019,Agriculture & Fisheries,3515.1
Armenia,2019,Domestic & Public Use,614.8
Armenia,2019,Industry & Manufacturing,90.4
Armenia,2020,Agriculture & Fisheries,3295.5
Armenia,2020,Domestic & Public Use,697.5
Armenia,2020,Industry & Manufacturing,103.8
Armenia,2021,Agriculture & Fisheries,3818.2000000000003
Armenia,2021,Domestic & Public Use,601.3
Armenia,2021,Industry & Manufacturing,82.2
Austria,1990,Agriculture & Fisheries,300.0
Austria,1990,Domestic & Public Use,1370.2
Austria,1990,Industry & Manufacturing,2911.8
Austria,1991,Agriculture & Fisheries,300.0
Austria,1991,Domestic & Public Use,1225.9
Austria,1991,Industry & Manufacturing,2778.4
Austria,1992,Agriculture & Fisheries,300.0
Austria,1992,Domestic & Public Use,1286.4
Austria,1992,Industry & Manufacturing,2683.0
Austria,1993,Agriculture & Fisheries,300.0
Austria,1993,Domestic & Public Use,1265.0
Austria,1993,Industry & Manufacturing,2606.8
Austria,1994,Agriculture & Fisheries,306.4
Austria,1994,Domestic & Public Use,1253.2
Austria,1994,Industry & Manufacturing,2686.2
Austria,1995,Agriculture & Fisheries,329.6
Austria,1995,Domestic & Public Use,1384.3
Austria,1995,Industry & Manufacturing,2569.5
Austria,1996,Agriculture & Fisheries,330.4
Austria,1996,Domestic & Public Use,1402.1999999999998
Austria,1996,Industry & Manufacturing,2559.0
Austria,1997,Agriculture & Fisheries,335.0
Austria,1997,Domestic & Public Use,1374.2
Austria,1997,Industry & Manufacturing,2571.6
Austria,1998,Agriculture & Fisheries,334.2
Austria,1998,Domestic & Public Use,1315.1000000000001
Austria,1998,Industry & Manufacturing,2600.0
Austria,1999,Agriculture & Fisheries,335.0
Austria,1999,Domestic & Public Use,1337.3999999999999
Austria,1999,Industry & Manufacturing,2558.8
Austria,2000,Agriculture & Fisheries,200.0
Austria,2000,Domestic & Public Use,88.0
Austria,2000,Industry & Manufacturing,2518.4
Austria,2001,Agriculture & Fisheries,200.0
Austria,2001,Domestic & Public Use,85.2
Austria,2001,Industry & Manufacturing,2479.0
Austria,2002,Agriculture & Fisheries,200.0
Austria,2002,Domestic & Public Use,82.6
Austria,2002,Industry & Manufacturing,2440.4
Austria,2008,Domestic & Public Use,1216.0
Austria,2008,Industry & Manufacturing,3314.2
Austria,2010,Domestic & Public Use,755.0
Austria,2015,Domestic & Public Use,740.2
Austria,2016,Domestic & Public Use,1433.0
Austria,2017,Domestic & Public Use,1467.4
Austria,2018,Domestic & Public Use,1493.2
