Measure_resource,Year,OBS_VALUE_resources
Total renewable freshwater,1990,1383.818591894531
Total renewable freshwater,1991,1044.987
Total renewable freshwater,1992,1194.0187
Total renewable freshwater,1993,1182.588
Total renewable freshwater,1994,1124.6425
Total renewable freshwater,1995,1780.489981829834
Total renewable freshwater,1996,1404.0201
Total renewable freshwater,1997,1582.74661
Total renewable freshwater,1998,1837.8654000000001
Total renewable freshwater,1999,1756.2852
Total renewable freshwater,2000,2327.47511
Total renewable freshwater,2001,2097.92963
Total renewable freshwater,2002,2148.92416
Total renewable freshwater,2003,1674.62057
Total renewable freshwater,2004,1979.39771
Total renewable freshwater,2005,2038.15092
Total renewable freshwater,2006,2098.92095
Total renewable freshwater,2007,2180.85108
Total renewable freshwater,2008,2264.69496
Total renewable freshwater,2009,2145.102441
Total renewable freshwater,2010,2172.02749
Total renewable freshwater,2011,1895.153024
Total renewable freshwater,2012,2271.104509084473
Total renewable freshwater,2013,2295.096578657227
Total renewable freshwater,2014,2138.750600647949
Total renewable freshwater,2015,1938.987340244141
Total renewable freshwater,2016,1974.9718763989258
Total renewable freshwater,2017,2006.291089479004
Total renewable freshwater,2018,1776.878532887207
Total renewable freshwater,2019,1914.5137477324222
Total renewable freshwater,2020,1945.027346459961
Total renewable freshwater,2021,1692.136039450684
Total renewable freshwater,2022,1197.261382
