STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SOURCE,Water source,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,OBS_STATUS_4,Observation status 4,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,ARM,Armenia,A,Annual,CONS,Construction,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2015,,0.1,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,ARM,Armenia,A,Annual,CONS,Construction,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2016,,0.1,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,ARM,Armenia,A,Annual,CONS,Construction,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2017,,3.6,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,ARM,Armenia,A,Annual,CONS,Construction,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2018,,0.2,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,ARM,Armenia,A,Annual,CONS,Construction,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2019,,0.1,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,ARM,Armenia,A,Annual,CONS,Construction,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2020,,0.2,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,ARM,Armenia,A,Annual,CONS,Construction,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2021,,0.8,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,AUT,Austria,A,Annual,AGRICULTURE,"Agriculture, forestry, fishing",M3,Cubic metres,GROUND,Fresh ground water,1980,,90,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,AUT,Austria,A,Annual,AGRICULTURE,"Agriculture, forestry, fishing",M3,Cubic metres,GROUND,Fresh ground water,1985,,200,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,AUT,Austria,A,Annual,AGRICULTURE,"Agriculture, forestry, fishing",M3,Cubic metres,GROUND,Fresh ground water,1990,,100,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,AUT,Austria,A,Annual,AGRICULTURE,"Agriculture, forestry, fishing",M3,Cubic metres,GROUND,Fresh ground water,1991,,100,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,AUT,Austria,A,Annual,AGRICULTURE,"Agriculture, forestry, fishing",M3,Cubic metres,GROUND,Fresh ground water,1992,,100,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,AUT,Austria,A,Annual,AGRICULTURE,"Agriculture, forestry, fishing",M3,Cubic metres,GROUND,Fresh ground water,1993,,100,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,AUT,Austria,A,Annual,AGRICULTURE,"Agriculture, forestry, fishing",M3,Cubic metres,GROUND,Fresh ground water,1994,,100,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,AUT,Austria,A,Annual,AGRICULTURE,"Agriculture, forestry, fishing",M3,Cubic metres,GROUND,Fresh ground water,1995,,100,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,AUT,Austria,A,Annual,AGRICULTURE,"Agriculture, forestry, fishing",M3,Cubic metres,GROUND,Fresh ground water,1996,,100,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,AUT,Austria,A,Annual,AGRICULTURE,"Agriculture, forestry, fishing",M3,Cubic metres,GROUND,Fresh ground water,1997,,100,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,AUT,Austria,A,Annual,AGRICULTURE,"Agriculture, forestry, fishing",M3,Cubic metres,GROUND,Fresh ground water,1998,,100,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,AUT,Austria,A,Annual,AGRICULTURE,"Agriculture, forestry, fishing",M3,Cubic metres,GROUND,Fresh ground water,1999,,100,,A,Normal value,,,,,,,6,Millions,1,One
