STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,PERIOD,Period,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,1990,,162,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,1991,,126,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,1992,,177,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,1993,,198,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,1994,,212,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,1995,,222,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,1996,,132,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,1997,,148,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,1998,,205,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,1999,,214,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2000,,206,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2001,,250.9,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2002,,278.9,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2003,,94.4,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2004,,175,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2005,,169.8,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2006,,167.1,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2007,,212.4,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2008,,168.5,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2009,,178.1,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2010,,200.8,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2011,,119,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2012,,163.6,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2013,,181.6,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2014,,122.3,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2015,,123,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2016,,154.4,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2017,,162.8,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2018,,115.1,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2019,,126.8,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,DEU,Germany,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2020,,106.4,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,ITA,Italy,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,1990,,172,,A,Normal value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,HRV,Croatia,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2000,,114.994,,E,Estimated value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,HRV,Croatia,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2001,,114.399,,E,Estimated value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,HRV,Croatia,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2002,,117.585,,E,Estimated value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,HRV,Croatia,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2003,,119.673,,E,Estimated value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,HRV,Croatia,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2004,,119.337,,E,Estimated value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,HRV,Croatia,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2005,,117.723,,E,Estimated value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,HRV,Croatia,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2006,,115.88,,E,Estimated value,9,Billions,3,Three
DATAFLOW,OECD.ENV.EPI:DSD_WATER_RESOURCES@DF_WATER_RESOURCES(1.0),Freshwater - resources,I,HRV,Croatia,A,Annual,RENEW_RESOU,Total renewable freshwater,M3,Cubic metres,YEARLY,Yearly,2007,,119.009,,E,Estimated value,9,Billions,3,Three
