Country,Year,Measure_resource,OBS_VALUE_resources
Austria,2012,Total renewable freshwater,87.209999084473
Austria,2013,Total renewable freshwater,97.557998657227
Austria,2014,Total renewable freshwater,82.372001647949
Austria,2015,Total renewable freshwater,71.194000244141
Austria,2016,Total renewable freshwater,81.450996398926
Austria,2017,Total renewable freshwater,74.827003479004
Austria,2018,Total renewable freshwater,71.338996887207
Austria,2019,Total renewable freshwater,80.582000732422
Austria,2020,Total renewable freshwater,79.936996459961
Austria,2021,Total renewable freshwater,77.750999450684
Belgium,2000,Total renewable freshwater,25.21496
Belgium,2001,Total renewable freshwater,29.99446
Belgium,2002,Total renewable freshwater,26.18129
Belgium,2003,Total renewable freshwater,12.91539
Belgium,2004,Total renewable freshwater,16.40233
Belgium,2005,Total renewable freshwater,13.25009
Belgium,2006,Total renewable freshwater,19.13109
Belgium,2007,Total renewable freshwater,22.43403
Belgium,2008,Total renewable freshwater,19.81539
Belgium,2009,Total renewable freshwater,15.739911
Belgium,2010,Total renewable freshwater,24.45087
Belgium,2011,Total renewable freshwater,18.342364
Belgium,2012,Total renewable freshwater,27.42595
Belgium,2013,Total renewable freshwater,27.1009
Belgium,2014,Total renewable freshwater,21.989899
Belgium,2015,Total renewable freshwater,23.86681
Belgium,2016,Total renewable freshwater,26.7666
Belgium,2017,Total renewable freshwater,20.476606
Belgium,2018,Total renewable freshwater,21.056406
Belgium,2019,Total renewable freshwater,23.312987
Belgium,2020,Total renewable freshwater,25.92814
Belgium,2021,Total renewable freshwater,29.02097
Belgium,2022,Total renewable freshwater,23.066332
Bulgaria,2012,Total renewable freshwater,83.71
Bulgaria,2013,Total renewable freshwater,109.659
Bulgaria,2014,Total renewable freshwater,118.74
Bulgaria,2015,Total renewable freshwater,105.982
Bulgaria,2016,Total renewable freshwater,102.083
Bulgaria,2017,Total renewable freshwater,82.095
Bulgaria,2018,Total renewable freshwater,100.092
Bulgaria,2019,Total renewable freshwater,84.86971
Bulgaria,2020,Total renewable freshwater,79.877
Bulgaria,2021,Total renewable freshwater,99.398
Croatia,2000,Total renewable freshwater,114.994
Croatia,2001,Total renewable freshwater,114.399
Croatia,2002,Total renewable freshwater,117.585
Croatia,2003,Total renewable freshwater,119.673
Croatia,2004,Total renewable freshwater,119.337
Croatia,2005,Total renewable freshwater,117.723
Croatia,2006,Total renewable freshwater,115.88
Croatia,2007,Total renewable freshwater,119.009
Croatia,2008,Total renewable freshwater,116.63
Croatia,2009,Total renewable freshwater,116.63
Croatia,2010,Total renewable freshwater,116.63
Croatia,2011,Total renewable freshwater,107.362
Croatia,2012,Total renewable freshwater,117.594
Croatia,2013,Total renewable freshwater,121.77
Croatia,2014,Total renewable freshwater,136.74
Croatia,2015,Total renewable freshwater,108.931
Croatia,2016,Total renewable freshwater,124.777
Croatia,2017,Total renewable freshwater,111.938
Croatia,2018,Total renewable freshwater,113.405
Croatia,2019,Total renewable freshwater,109.594
Croatia,2020,Total renewable freshwater,91.41328
Croatia,2021,Total renewable freshwater,91.01008
Croatia,2022,Total renewable freshwater,88.27
Estonia,1990,Total renewable freshwater,17.896
Estonia,1992,Total renewable freshwater,12.86
Estonia,1993,Total renewable freshwater,10.48
Estonia,1994,Total renewable freshwater,13.46
Estonia,1995,Total renewable freshwater,13.249
Estonia,1996,Total renewable freshwater,13.209
Estonia,1997,Total renewable freshwater,19.004
Estonia,1998,Total renewable freshwater,25.108
Estonia,1999,Total renewable freshwater,23.259
Estonia,2000,Total renewable freshwater,22.50379
Estonia,2001,Total renewable freshwater,30.47474
Estonia,2002,Total renewable freshwater,20.2636
Estonia,2003,Total renewable freshwater,20.108
Estonia,2004,Total renewable freshwater,31.71766
Estonia,2005,Total renewable freshwater,24.21288
Estonia,2006,Total renewable freshwater,15.5627
Estonia,2007,Total renewable freshwater,25.71606
Estonia,2008,Total renewable freshwater,36.93694
Estonia,2009,Total renewable freshwater,27.41792
Estonia,2010,Total renewable freshwater,27.96557
Estonia,2011,Total renewable freshwater,31.19902
Estonia,2012,Total renewable freshwater,39.49494
Estonia,2013,Total renewable freshwater,22.0012
Estonia,2014,Total renewable freshwater,17.89528
Estonia,2015,Total renewable freshwater,19.13989
Estonia,2016,Total renewable freshwater,28.22474
Estonia,2017,Total renewable freshwater,30.79955
Estonia,2018,Total renewable freshwater,17.36654
Estonia,2019,Total renewable freshwater,26.34886
Estonia,2020,Total renewable freshwater,26.48034
Estonia,2021,Total renewable freshwater,23.91393
Estonia,2022,Total renewable freshwater,20.12171
Finland,1990,Total renewable freshwater,90.5
Finland,1991,Total renewable freshwater,140.8
Finland,1992,Total renewable freshwater,152.8
Finland,1993,Total renewable freshwater,83.6
Finland,1994,Total renewable freshwater,101.7
Finland,1995,Total renewable freshwater,109.0
Finland,1996,Total renewable freshwater,93.0
Finland,1997,Total renewable freshwater,90.6
Finland,1998,Total renewable freshwater,125.0
Finland,1999,Total renewable freshwater,98.9
Finland,2000,Total renewable freshwater,121.0
Finland,2001,Total renewable freshwater,90.5
Finland,2002,Total renewable freshwater,81.7
