Country,Year,Measure_group,OBS_VALUE_use,OBS_VALUE_abstractions,usage_to_abstractions_ratio,ISO3
Armenia,1990,Domestic/Public Use,945.09997558594,3799.70001220703,0.24873015568326015,ARM
Armenia,1990,Total,945.09997558594,3799.70001220703,0.24873015568326015,ARM
Armenia,1995,Domestic/Public Use,555.29998779297,1621.49995040896,0.3424606874967324,ARM
Armenia,1995,Total,555.29998779297,1621.49995040896,0.3424606874967324,ARM
Armenia,1996,Domestic/Public Use,530.90002441406,1644.399986267091,0.32285333790305004,ARM
Armenia,1996,Total,530.90002441406,1644.399986267091,0.32285333790305004,ARM
Armenia,1997,Domestic/Public Use,456.39999389648,2169.600044250459,0.2103613498284908,ARM
Armenia,1997,Total,456.39999389648,2169.600044250459,0.2103613498284908,ARM
Armenia,1998,Domestic/Public Use,429.29998779297,1986.0999641418089,0.2161522559507572,ARM
Armenia,1998,Total,429.29998779297,1986.0999641418089,0.2161522559507572,ARM
Armenia,1999,Domestic/Public Use,444.39999389648,1993.400047302221,0.2229356794176418,ARM
Armenia,1999,Total,444.39999389648,1993.400047302221,0.2229356794176418,ARM
Armenia,2000,Domestic/Public Use,603.2,2040.5,0.29561382014212206,ARM
Armenia,2000,Total,603.2,2040.5,0.29561382014212206,ARM
Armenia,2001,Domestic/Public Use,569.2,1913.7,0.29743428959607043,ARM
Armenia,2001,Total,569.2,1913.7,0.29743428959607043,ARM
Armenia,2002,Domestic/Public Use,552.2,1937.6000000000001,0.28499174236168456,ARM
Armenia,2002,Total,552.2,1937.6000000000001,0.28499174236168456,ARM
Armenia,2003,Domestic/Public Use,585.5,2005.7,0.29191803360422797,ARM
Armenia,2003,Total,585.5,2005.7,0.29191803360422797,ARM
Armenia,2004,Domestic/Public Use,565.8,2434.5,0.2324091189155884,ARM
Armenia,2004,Total,565.8,2434.5,0.2324091189155884,ARM
Armenia,2005,Domestic/Public Use,595.9,2587.6,0.230290616787757,ARM
Armenia,2005,Total,595.9,2587.6,0.230290616787757,ARM
Armenia,2006,Domestic/Public Use,594.2,2687.0,0.2211388165240045,ARM
Armenia,2006,Total,594.2,2687.0,0.2211388165240045,ARM
Armenia,2007,Domestic/Public Use,608.8,2934.9999,0.20742760502308705,ARM
Armenia,2007,Total,608.8,2934.9999,0.20742760502308705,ARM
Armenia,2008,Domestic/Public Use,618.8,2776.0001,0.22291065479428473,ARM
Armenia,2008,Total,618.8,2776.0001,0.22291065479428473,ARM
Armenia,2009,Domestic/Public Use,597.3,2363.4,0.2527291190657527,ARM
Armenia,2009,Total,597.3,2363.4,0.2527291190657527,ARM
Armenia,2010,Domestic/Public Use,559.6,2229.8,0.25096421203695396,ARM
Armenia,2010,Total,559.6,2229.8,0.25096421203695396,ARM
Armenia,2011,Domestic/Public Use,516.8,2255.7,0.22910848073768675,ARM
Armenia,2011,Total,516.8,2255.7,0.22910848073768675,ARM
Armenia,2012,Domestic/Public Use,535.7,2690.1,0.19913757852867925,ARM
Armenia,2012,Total,535.7,2690.1,0.19913757852867925,ARM
Armenia,2013,Domestic/Public Use,525.2,2857.5001,0.18379701893973688,ARM
Armenia,2013,Total,525.2,2857.5001,0.18379701893973688,ARM
Armenia,2014,Domestic/Public Use,500.2,2691.2,0.18586504161712247,ARM
Armenia,2014,Total,500.2,2691.2,0.18586504161712247,ARM
Armenia,2015,Domestic/Public Use,496.3,5176.1001,0.09588299886240609,ARM
Armenia,2015,Total,496.3,5176.1001,0.09588299886240609,ARM
Armenia,2016,Domestic/Public Use,479.8,5063.7,0.09475284870746688,ARM
Armenia,2016,Total,479.8,5063.7,0.09475284870746688,ARM
Armenia,2017,Domestic/Public Use,572.2,4433.0999,0.1290744654773063,ARM
Armenia,2017,Total,572.2,4433.0999,0.1290744654773063,ARM
Armenia,2018,Domestic/Public Use,589.7,4172.4,0.1413335250695044,ARM
Armenia,2018,Total,589.7,4172.4,0.1413335250695044,ARM
Armenia,2019,Domestic/Public Use,565.6,4220.299999999999,0.1340189086083928,ARM
Armenia,2019,Total,565.6,4220.299999999999,0.1340189086083928,ARM
Armenia,2020,Domestic/Public Use,555.3,4096.8,0.13554481546572933,ARM
Armenia,2020,Total,555.3,4096.8,0.13554481546572933,ARM
Armenia,2021,Domestic/Public Use,550.7,4501.700000000001,0.12233156363151697,ARM
Armenia,2021,Total,550.7,4501.700000000001,0.12233156363151697,ARM
Austria,1990,Domestic/Public Use,953.7,4582.0,0.20814054997817547,AUT
Austria,1990,Total,953.7,4582.0,0.20814054997817547,AUT
Austria,1991,Domestic/Public Use,1053.5,4304.3,0.24475524475524474,AUT
Austria,1991,Total,1053.5,4304.3,0.24475524475524474,AUT
Austria,1992,Domestic/Public Use,1110.5,4269.4,0.2601068065770366,AUT
Austria,1992,Total,1110.5,4269.4,0.2601068065770366,AUT
Austria,1993,Domestic/Public Use,1094.8,4171.8,0.2624286878565607,AUT
Austria,1993,Total,1094.8,4171.8,0.2624286878565607,AUT
Austria,1994,Domestic/Public Use,1084.4,4245.8,0.25540534174949364,AUT
Austria,1994,Total,1084.4,4245.8,0.25540534174949364,AUT
Austria,1995,Domestic/Public Use,948.5,4283.4,0.22143624223747493,AUT
Austria,1995,Total,948.5,4283.4,0.22143624223747493,AUT
Austria,1996,Domestic/Public Use,950.2,4291.6,0.22140926460993568,AUT
Austria,1996,Total,950.2,4291.6,0.22140926460993568,AUT
Austria,1997,Domestic/Public Use,947.5999999999999,4280.8,0.221360493365726,AUT
Austria,1997,Total,947.5999999999999,4280.8,0.221360493365726,AUT
Austria,1998,Domestic/Public Use,927.9,4249.3,0.21836537782693619,AUT
Austria,1998,Total,927.9,4249.3,0.21836537782693619,AUT
Austria,1999,Domestic/Public Use,898.1999999999999,4231.2,0.2122802041973908,AUT
Austria,1999,Total,898.1999999999999,4231.2,0.2122802041973908,AUT
Austria,2000,Domestic/Public Use,351.2,2806.4,0.1251425313568985,AUT
Austria,2000,Total,351.2,2806.4,0.1251425313568985,AUT
Austria,2001,Domestic/Public Use,353.5,2764.2000000000003,0.12788510238043554,AUT
Austria,2001,Total,353.5,2764.2000000000003,0.12788510238043554,AUT
Austria,2002,Domestic/Public Use,356.3,2723.0,0.1308483290488432,AUT
Austria,2002,Total,356.3,2723.0,0.1308483290488432,AUT
Austria,2010,Domestic/Public Use,968.0,755.0,1.2821192052980133,AUT
Austria,2010,Total,968.0,755.0,1.2821192052980133,AUT
Austria,2016,Domestic/Public Use,379.0,1433.0,0.264480111653873,AUT
Austria,2016,Total,379.0,1433.0,0.264480111653873,AUT
Austria,2017,Domestic/Public Use,375.77,1467.4,0.25607877879242197,AUT
Austria,2017,Total,375.77,1467.4,0.25607877879242197,AUT
Austria,2018,Domestic/Public Use,378.14,1493.2,0.2532413608357889,AUT
Austria,2018,Total,378.14,1493.2,0.2532413608357889,AUT
Austria,2021,Domestic/Public Use,390.77,33.98,11.5,AUT
Austria,2021,Total,390.77,33.98,11.5,AUT
Austria,2022,Domestic/Public Use,395.19,34.36,11.501455180442376,AUT
Austria,2022,Total,395.19,34.36,11.501455180442376,AUT
Azerbaijan,2003,Domestic/Public Use,600.4,18697.0,0.032112103546023424,AZE
Azerbaijan,2003,Total,600.4,18697.0,0.032112103546023424,AZE
Azerbaijan,2004,Domestic/Public Use,690.7,19923.0,0.03466847362345028,AZE
Azerbaijan,2004,Total,690.7,19923.0,0.03466847362345028,AZE
Azerbaijan,2005,Domestic/Public Use,695.4,21339.0,0.03258821875439336,AZE
Azerbaijan,2005,Total,695.4,21339.0,0.03258821875439336,AZE
Azerbaijan,2006,Domestic/Public Use,700.1,22013.0,0.031803934038976966,AZE
Azerbaijan,2006,Total,700.1,22013.0,0.031803934038976966,AZE
Azerbaijan,2007,Domestic/Public Use,664.9,22190.0,0.02996394772420009,AZE
Azerbaijan,2007,Total,664.9,22190.0,0.02996394772420009,AZE
Azerbaijan,2008,Domestic/Public Use,684.5,21328.0,0.03209396099024756,AZE
Azerbaijan,2008,Total,684.5,21328.0,0.03209396099024756,AZE
Azerbaijan,2009,Domestic/Public Use,663.6,20964.0,0.031654264453348596,AZE
Azerbaijan,2009,Total,663.6,20964.0,0.031654264453348596,AZE
Azerbaijan,2010,Domestic/Public Use,617.8,20582.0,0.030016519288698862,AZE
Azerbaijan,2010,Total,617.8,20582.0,0.030016519288698862,AZE
Azerbaijan,2011,Domestic/Public Use,714.4,21027.0,0.033975365006895894,AZE
Azerbaijan,2011,Total,714.4,21027.0,0.033975365006895894,AZE
Azerbaijan,2012,Domestic/Public Use,715.8,22180.0,0.032272317403065826,AZE
Azerbaijan,2012,Total,715.8,22180.0,0.032272317403065826,AZE
Azerbaijan,2013,Domestic/Public Use,718.4,22184.0,0.03238369996393797,AZE
Azerbaijan,2013,Total,718.4,22184.0,0.03238369996393797,AZE
Azerbaijan,2014,Domestic/Public Use,715.8,21307.0,0.03359459332613695,AZE
Azerbaijan,2014,Total,715.8,21307.0,0.03359459332613695,AZE
Azerbaijan,2015,Domestic/Public Use,692.0,21744.0,0.03182487122884474,AZE
Azerbaijan,2015,Total,692.0,21744.0,0.03182487122884474,AZE
Azerbaijan,2016,Domestic/Public Use,662.0,22048.0,0.030025399129172715,AZE
Azerbaijan,2016,Total,662.0,22048.0,0.030025399129172715,AZE
Azerbaijan,2017,Domestic/Public Use,630.7,22703.0,0.02778046954147029,AZE
Azerbaijan,2017,Total,630.7,22703.0,0.02778046954147029,AZE
Azerbaijan,2018,Domestic/Public Use,639.4,22883.0,0.02794214045361185,AZE
Azerbaijan,2018,Total,639.4,22883.0,0.02794214045361185,AZE
Azerbaijan,2019,Domestic/Public Use,673.6,23639.0,0.028495283218410255,AZE
Azerbaijan,2019,Total,673.6,23639.0,0.028495283218410255,AZE
Azerbaijan,2020,Domestic/Public Use,689.367,22847.0,0.03017319560554996,AZE
Azerbaijan,2020,Total,689.367,22847.0,0.03017319560554996,AZE
Azerbaijan,2021,Domestic/Public Use,655.109,24322.0,0.026934832661787683,AZE
